Name,A0,A1,x0,dx
上海,4.119186261421854,300.28800666839913,24.917396303046985,3.9297405986629963
云南,0.49949034301669504,198.23888511594436,29.76169096750428,4.781586420879921
内蒙古,0.9229661130063939,67.35967739582216,32.938277366434534,4.137209002078376
北京,-3.9501990742294852,337.00905895794205,28.44141334762755,6.078562909317024
吉林,-3.474820460072164,100.88151131381754,29.336916852847974,6.901537905804934
四川,-15.320183892808567,499.9789766715263,30.0019982924012,7.4326293179216325
天津,-1.9997135971259143,122.25178693070556,28.098687634601635,4.427214249978218
宁夏,-2.292147632950983,74.00106396305199,24.39115302979508,5.082530205267488
安徽,-4.247228383116681,988.6690199788563,28.391528769937658,4.4638741741409715
山东,-13.331956732634037,536.1297533119164,28.325811059904638,5.949185904626383
山西,-4.840009445559314,139.36817355896957,27.280369213050868,6.50524341871783
广东,-28.86412297009823,1114.4562060517535,25.93693037026857,5.372229260564323
广西,-2.31487937848358,276.50516193300933,33.05561278533855,6.635803770186931
新疆,-1.7078590101016085,150.65948444727582,40.2896794708515,6.5225432641258845
江苏,-5.809833591061016,574.1489546566419,25.99937594973486,4.560507781332006
江西,-4.496089494405338,958.9520955358371,28.208867368277698,4.775098194056859
河北,-5.411061507228558,330.9982852021776,27.635966271963262,5.056774874952769
河南,-30.12038936250193,1405.1955017674343,28.057771053789782,5.5849412599841495
浙江,-58.0700250685771,1275.8377305990052,27.432258663105078,7.176442192033673
海南,-1.5559647576044555,162.76823288981234,27.375752968136407,4.779237291310181
湖北,-431.3221131727919,62417.23525548631,37.57947591114365,6.203565163483274
湖南,-32.81461216138292,918.3485154678044,23.747812703494624,5.275979655977333
澳门,0.0,0.0,0.0,0.0
甘肃,-1.1074125575929303,84.26077460900012,22.059907972621858,3.640114959857807
福建,-4.0490914086931555,313.9090834237317,29.761805890643743,5.764263822812362
西藏,0.0,0.0,0.0,0.0
贵州,0.5253441334988488,115.58099475515151,25.29394519577436,3.4462362780629205
辽宁,-1.411981636713936,112.16137355505212,27.18810369443576,4.937784507091927
重庆,-6.6946947618267565,450.784713667308,25.308835270445304,4.372870727491444
陕西,-0.982540759038612,237.91964553225492,27.815846765557126,4.622931618302503
青海,-0.38910535050913925,18.261042034602223,20.135579972168244,3.0980821260754574
黑龙江,-2.359226522592159,395.1081144082193,30.383250183386135,4.520299573379258
宁夏-待明确地区,0.0,0.0,0.0,0.0
宁夏-吴忠,-0.5994825252606923,36.175000741344476,30.60481568127414,5.41839829549515
宁夏-石嘴山,0.0,0.0,0.0,0.0
宁夏-中卫,0.0,0.0,0.0,0.0
宁夏-宁东,0.0,0.0,0.0,0.0
宁夏-宁东管委会,0.0,0.0,0.0,0.0
宁夏-银川,-0.3317629018611378,31.586061576833192,21.988503128385666,3.3300670114943456
宁夏-固原,0.0,0.0,0.0,0.0
云南-昭通,0.4440947511291471,26.729078871614472,32.1550498358397,2.9799759751141206
云南-普洱,0.0,0.0,0.0,0.0
云南-楚雄,0.0,0.0,0.0,0.0
云南-曲靖,0.10468987090338241,12.834363484532204,27.031240797029984,4.262337105046794
云南-文山,0.0,0.0,0.0,0.0
云南-临沧,0.0,0.0,0.0,0.0
云南-待明确地区,0.0,0.0,0.0,0.0
云南-西双版纳,0.5273831264724023,16.374292491345244,29.853214327147455,3.6654379430098194
云南-丽江,0.0,0.0,0.0,0.0
云南-红河,0.0,0.0,0.0,0.0
云南-昆明,0.29683326826687956,59.801753656709934,30.08014593081064,4.262288311285833
云南-德宏,0.0,0.0,0.0,0.0
云南-保山,0.0,0.0,0.0,0.0
云南-玉溪,0.24008705076838247,15.780048401102842,29.63070538998363,4.844950759555164
云南-大理,0.4829800260328019,12.942608040452605,24.34885474290217,3.1481100265507393
广东-佛山,-2.624733603086329,60.262123054542364,27.345112208121495,6.3124999135549125
广东-惠州,-0.49321059369920645,56.32506452651659,24.827902819870186,2.973500777983104
广东-清远,-0.6575044426602432,13.062775830566368,21.784926746728836,6.24286923893883
广东-汕头,-0.058707208538374654,23.032163501613457,22.932271252483876,3.9679490391986705
广东-潮州,0.0,0.0,0.0,0.0
广东-梅州,-1.0393832619040018,12.646624564392473,20.962679954324045,5.266409692071553
广东-揭阳,0.0,0.0,0.0,0.0
广东-阳江,-0.0315779936785108,10.378483132779278,21.803463805317012,2.0622425504657182
广东-湛江,-2.1780748806551316,18.413854215985765,20.13327503459822,7.298969751866354
广东-江门,-0.6789434206883022,14.96593141661274,27.30674816178112,5.819398631734991
广东-待明确地区,-243976.04926600825,9.996904262405689,-0.24872695724631616,1.2341390081072032
广东-深圳,-5.53631788217895,347.63724632301,26.73734171448065,5.414345745644737
广东-外地来人员,0.0,0.0,0.0,0.0
广东-中山,-1.7969179458673432,59.36398304433399,22.584568916348104,4.478610888235776
广东-珠海,-1.9077872322816802,73.07564895216504,24.705908677232056,4.193594797409214
广东-广州,-7.82013060977742,276.6700825836503,25.457320097819494,5.164325804396104
广东-东莞,-2.494183790855473,148.32216144635808,39.45676194094706,7.0738111161206545
广东-韶关,0.0,0.0,0.0,0.0
广东-河源,0.0,0.0,0.0,0.0
广东-茂名,-0.5017163169027861,11.130081522095184,27.87865904704748,5.5396458898335394
广东-汕尾,0.0,0.0,0.0,0.0
广东-肇庆,-1.1699560536036533,15.471040072858315,24.291893632353748,7.020594354156636
四川-绵阳,-0.487536156758657,18.0540040363381,26.16946095916604,6.352671483224523
四川-宜宾,0.0,0.0,0.0,0.0
四川-自贡,0.0,0.0,0.0,0.0
四川-乐山,0.0,0.0,0.0,0.0
四川-雅安,0.0,0.0,0.0,0.0
四川-泸州,0.7840651030828915,23.718687069905215,32.497364076745654,3.0374077997737183
四川-凉山,-0.8934809025976835,12.162757015298627,27.015638773837242,5.517759757806638
四川-广元,0.0,0.0,0.0,0.0
四川-眉山,0.0,0.0,0.0,0.0
四川-待明确地区,0.0,0.0,0.0,0.0
